Policy Number,Contract No.,Coverage No.,Account Type,Fund Code,Fund Name,Units Held,Price Date,Fund Ccy,Price,Amount in Fund Ccy,Amount in Contract Ccy,Portfolio Weighting
28958,28958,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,29.23112,29/11/2017,USD,193.41,5653.59,44098.01,14.97
28958,28958,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.85146,29/11/2017,USD,158.49,3938.71,30721.92,10.43
28958,28958,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,393.51028,29/11/2017,USD,17.12,6736.9,52547.79,17.84
28958,28958,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.9074,29/11/2017,USD,188.2509,6006.6,46851.45,15.9
28958,28958,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,29.27907,29/11/2017,USD,130.1266,3809.99,29717.89,10.09
28958,28958,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),32.57337,29/11/2017,USD,152.11,4954.74,38646.94,13.12
28958,28958,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),352.70092,29/11/2017,USD,18.91,6669.57,52022.68,17.66
28958,28958,2,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,0.88605,29/11/2017,USD,193.41,171.37,1336.69,14.97
28958,28958,2,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,0.75329,29/11/2017,USD,158.49,119.39,931.23,10.43
28958,28958,2,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,11.92806,29/11/2017,USD,17.12,204.21,1592.83,17.84
28958,28958,2,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,0.96717,29/11/2017,USD,188.2509,182.07,1420.15,15.9
28958,28958,2,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,0.8875,29/11/2017,USD,130.1266,115.49,900.8,10.09
28958,28958,2,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),0.98736,29/11/2017,USD,152.11,150.19,1171.46,13.12
28958,28958,2,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),10.69103,29/11/2017,USD,18.91,202.17,1576.91,17.66
30256,30256,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,29.06226,29/11/2017,USD,193.41,5620.93,43843.27,14.97
30256,30256,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.70793,29/11/2017,USD,158.49,3915.96,30544.49,10.43
30256,30256,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,391.23707,29/11/2017,USD,17.12,6697.98,52244.23,17.84
