PolicyNum,PTVPlanDesc,Status,Commencementdate,IssueDate,BasisType,PlanCurrency,PolicyFee,ApplicationDate,InitialPayDateReg,InitialPayDateSng,CurrentRegularPrem,RegularPremiumFreq,NextRenewalDate,LastPremPaidDate,PolicyTerm,PremiumsPaidTotal,SinglPremiumsTotal,UnsettledPremiums,PremOSTotal,Currentfundholding,CurrentSurrenderval,PremHolOption
8100666,Pacific,In force,42736,18/12/2016,SL,HKD,720,42502,18/12/2016,0,72000,Annual,43466,15/12/2016,55,72000,0,0,0,82385.33,0,N
8103619,Vista,In force,41650,23/10/2014,SL,HKD,720,14/10/2014,23/10/2014,0,2400,Monthly,43102,42897,25,152800,0,2400,0,216868.61,0,N
8103662,Vista,In force,41650,30/10/2014,JLFD,HKD,720,17/10/2014,30/10/2014,0,3000,Monthly,43102,42897,25,246000,0,3000,0,393000.35,0,N
8103662,Vista,In force,41650,30/10/2014,JLFD,HKD,720,17/10/2014,30/10/2014,0,3000,Monthly,43102,42897,25,246000,0,3000,0,393000.35,0,N
8103767,Vista,In force,41650,26/10/2014,JLFD,HKD,720,17/10/2014,26/10/2014,0,6500,Monthly,43102,42897,25,592000,0,6500,0,948049.65,0,N
8103767,Vista,In force,41650,26/10/2014,JLFD,HKD,720,17/10/2014,26/10/2014,0,6500,Monthly,43102,42897,25,592000,0,6500,0,948049.65,0,N
8104675,Vista,Premium ceased,41650,28/10/2014,SL,HKD,720,20/10/2014,28/10/2014,0,2500,Monthly,42747,25/09/2017,25,90000,0,0,0,92963.1,0,N
8105512,Vista,In force,40551,31/08/2011,SL,HKD,720,22/07/2011,30/08/2011,0,2400,Monthly,43102,42897,19,98400,0,2400,0,109367.03,0,N
8106311,Pacific,In force,42381,14/12/2016,SL,USD,90,42533,14/12/2016,0,12000,Annual,43112,13/12/2016,65,12000,0,12000,0,15574.77,0,N
8106328,Pacific,In force,42381,13/12/2016,SL,USD,90,42533,13/12/2016,0,9000,Annual,43112,42716,64,9000,0,9000,0,10292.66,0,N
8107295,Pacific,In force,42374,42587,SL,HKD,720,42494,42587,0,31860,Monthly,43102,42897,64,605340,0,31860,0,953885.9,0,N
8108380,Pacific,In force,42377,42590,SL,HKD,720,42586,42590,0,10000,Monthly,43102,42897,65,160000,0,10000,0,202508.25,0,N
8109050,Pacific,In force,42374,26/04/2016,SL,HKD,720,42708,26/04/2016,0,24000,Monthly,43102,42897,55,456000,0,24000,0,710119.48,0,N
8109581,Pacific,Premium ceased,42374,42587,SL,HKD,720,26/03/2016,42587,0,4000,Monthly,42738,42530,74,20000,0,0,0,19791.31,0,N
8110328,Vista,In force,40184,40335,SL,HKD,720,29/05/2010,40274,0,2400,Monthly,43102,41770,25,287400,0,2400,0,388870.4,0,N
