Policy Number,Contract No.,Coverage No.,Account Type,Fund Code,Fund Name,Units Held,Price Date,Fund Ccy,Price,Amount in Fund Ccy,Amount in Contract Ccy,Portfolio Weighting
28958,28958,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,29.08496,19/01/2018,USD,206.31,6000.52,46804.04,15.23
28958,28958,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.7272,19/01/2018,USD,171.54,4241.7,33085.29,10.76
28958,28958,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,391.54273,19/01/2018,USD,18.38,7196.56,56133.13,18.26
28958,28958,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.74786,19/01/2018,USD,201.4965,6397.08,49897.24,16.23
28958,28958,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,29.13267,19/01/2018,USD,139.1774,4054.61,31625.95,10.29
28958,28958,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),32.4105,19/01/2018,USD,152.31,4936.44,38504.26,12.53
28958,28958,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),350.93742,19/01/2018,USD,18.76,6583.59,51351.97,16.71
28958,28958,2,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,0.88605,19/01/2018,USD,206.31,182.8,1425.85,15.23
28958,28958,2,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,0.75329,19/01/2018,USD,171.54,129.22,1007.91,10.76
28958,28958,2,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,11.92806,19/01/2018,USD,18.38,219.24,1710.05,18.26
28958,28958,2,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,0.96717,19/01/2018,USD,201.4965,194.88,1520.07,16.23
28958,28958,2,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,0.8875,19/01/2018,USD,139.1774,123.52,963.46,10.29
28958,28958,2,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),0.98736,19/01/2018,USD,152.31,150.38,1173,12.53
28958,28958,2,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),10.69103,19/01/2018,USD,18.76,200.56,1564.4,16.71
30256,30256,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,28.91695,19/01/2018,USD,206.31,5965.86,46533.68,15.23
30256,30256,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.58439,19/01/2018,USD,171.54,4217.21,32894.21,10.76
30256,30256,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,389.28088,19/01/2018,USD,18.38,7154.98,55808.86,18.26
30256,30256,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.56445,19/01/2018,USD,201.4965,6360.13,49608.98,16.23
30256,30256,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,28.9644,19/01/2018,USD,139.1774,4031.19,31443.28,10.29
30256,30256,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),32.22325,19/01/2018,USD,152.31,4907.92,38281.8,12.53
