 Policy Number,PolicyNum,PTVPlanDesc,Status,Commencementdate,IssueDate,BasisType,PlanCurrency,PolicyFee,ApplicationDate,InitialPayDateReg,InitialPayDateSng,CurrentRegularPrem,RegularPremiumFreq,NextRenewalDate,LastPremPaidDate,PolicyTerm,PremiumsPaidTotal,SinglPremiumsTotal,UnsettledPremiums,PremOSTotal,Currentfundholding,CurrentSurrenderval,PremHolOption
8100666,8100666,Pacific,In force,42736,18/12/2016,SL,HKD,720,42502,18/12/2016,0,72000,Annual,43466,43221,55,144000,0,0,0,158876.03,0,N
8103619,8103619,Vista,In force,41650,23/10/2014,SL,HKD,720,14/10/2014,23/10/2014,0,2400,Monthly,43103,42898,25,155200,0,2400,0,228110.17,0,N
8103662,8103662,Vista,In force,41650,30/10/2014,JLFD,HKD,720,17/10/2014,30/10/2014,0,3000,Monthly,43103,43221,25,252000,0,0,0,418355.16,0,N
8103662,8103662,Vista,In force,41650,30/10/2014,JLFD,HKD,720,17/10/2014,30/10/2014,0,3000,Monthly,43103,43221,25,252000,0,0,0,418355.16,0,N
8103767,8103767,Vista,In force,41650,26/10/2014,JLFD,HKD,720,17/10/2014,26/10/2014,0,6500,Monthly,43103,43221,25,605000,0,0,0,1007728.64,0,N
8103767,8103767,Vista,In force,41650,26/10/2014,JLFD,HKD,720,17/10/2014,26/10/2014,0,6500,Monthly,43103,43221,25,605000,0,0,0,1007728.64,0,N
8104675,8104675,Vista,Premium ceased,41650,28/10/2014,SL,HKD,720,20/10/2014,28/10/2014,0,2500,Monthly,42747,25/09/2017,25,90000,0,0,0,96733.29,0,N
8105512,8105512,Vista,In force,40551,31/08/2011,SL,HKD,720,22/07/2011,30/08/2011,0,2400,Monthly,43103,43221,19,103200,0,0,0,119720.65,0,N
8106311,8106311,Pacific,In force,42381,14/12/2016,SL,USD,90,42533,14/12/2016,0,12000,Annual,43112,18/12/2017,65,24000,0,0,0,28321.37,0,N
8106328,8106328,Pacific,In force,42381,13/12/2016,SL,USD,90,42533,13/12/2016,0,750,Monthly,43103,22/12/2017,64,9750,0,750,0,11545.84,0,N
8107295,8107295,Pacific,In force,42374,42587,SL,HKD,720,42494,42587,0,31860,Monthly,43103,43221,64,669060,0,0,0,1059586.01,0,N
8108380,8108380,Pacific,In force,42377,42590,SL,HKD,720,42586,42590,0,10000,Monthly,43103,43221,65,180000,0,0,0,233348.26,0,N
8109050,8109050,Pacific,In force,42374,26/04/2016,SL,HKD,720,42708,26/04/2016,0,24000,Monthly,43103,43221,55,504000,0,0,0,788953.11,0,N
8109581,8109581,Pacific,Premium ceased,42374,42587,SL,HKD,720,26/03/2016,42587,0,4000,Monthly,42738,42530,74,20000,0,0,0,20717.63,0,N
8110328,8110328,Vista,Premium ceased,40184,40335,SL,HKD,720,29/05/2010,40274,0,2400,Monthly,43103,43374,25,289800,0,0,0,410072.86,0,N
8113758,8113758,Pacific,In force,42736,18/12/2016,SL,USD,90,42625,18/12/2016,0,12000,Annual,43466,43221,57,24000,0,0,0,28855.6,0,N
8115058,8115058,Pacific,In force,42374,24/04/2016,SL,HKD,720,16/04/2016,24/04/2016,0,4000,Monthly,43103,43221,72,84000,0,0,0,90744.36,0,N
8115067,8115067,Pacific,In force,42374,30/04/2016,SL,HKD,720,17/04/2016,30/04/2016,0,8000,Monthly,43103,43221,66,168000,0,0,0,213300.9,0,N
8115659,8115659,Vista,In force,41284,41466,JLFD,USD,90,21/09/2013,41375,0,1600,Monthly,43103,43221,25,83200,0,0,0,117215.32,0,N
8115659,8115659,Vista,In force,41284,41466,JLFD,USD,90,21/09/2013,41375,0,1600,Monthly,43103,43221,25,83200,0,0,0,117215.32,0,N
8116614,8116614,Vista,In force,41650,31/10/2014,SL,USD,90,24/10/2014,31/10/2014,0,7650,Monthly,43103,43221,25,298350,0,0,0,435599.7,0,N
8118219,8118219,Pacific,Surrendered,42374,42618,SL,USD,90,23/04/2016,42618,0,0,Single Premium,0,24/06/2016,72,2250,0,0,0,0,0,N
8118227,8118227,Pacific,In force,42374,42465,SL,HKD,720,23/04/2016,42465,0,7000,Monthly,43103,43221,65,147000,0,0,0,173256.01,0,N
8118236,8118236,Pacific,In force,42374,30/04/2016,SL,USD,90,23/04/2016,30/04/2016,0,850,Monthly,43103,43221,69,17850,0,0,0,20650.8,0,N
8118254,8118254,Pacific,In force,42374,42587,SL,HKD,720,24/04/2016,42587,0,6000,Monthly,43103,43221,68,126000,0,0,0,151166.51,0,N
8118786,8118786,Pacific,In force,42736,27/12/2016,SL,HKD,720,17/12/2016,27/12/2016,0,6000,Monthly,43103,24/01/2018,64,84000,0,0,0,98363.25,0,N
