Policy Number,Contract No.,Coverage No.,Account Type,Fund Code,Fund Name,Units Held,Price Date,Fund Ccy,Price,Amount in Fund Ccy,Amount in Contract Ccy,Portfolio Weighting
28958,28958,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,29.23112,15/12/2017,USD,196.83,5753.56,44877.78,15.16
28958,28958,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.85146,15/12/2017,USD,159.39,3961.07,30896.38,10.44
28958,28958,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,393.51028,15/12/2017,USD,17.31,6811.66,53130.97,17.95
28958,28958,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.9074,15/12/2017,USD,186.8433,5961.68,46501.13,15.71
28958,28958,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,29.27907,15/12/2017,USD,130.641,3825.05,29835.37,10.08
28958,28958,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),32.57337,15/12/2017,USD,152.15,4956.04,38657.1,13.06
28958,28958,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),352.70092,15/12/2017,USD,18.92,6673.1,52050.19,17.59
28958,28958,2,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,0.88605,15/12/2017,USD,196.83,174.4,1360.33,15.16
28958,28958,2,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,0.75329,15/12/2017,USD,159.39,120.07,936.52,10.44
28958,28958,2,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,11.92806,15/12/2017,USD,17.31,206.47,1610.5,17.95
28958,28958,2,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,0.96717,15/12/2017,USD,186.8433,180.71,1409.53,15.71
28958,28958,2,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,0.8875,15/12/2017,USD,130.641,115.94,904.36,10.08
28958,28958,2,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),0.98736,15/12/2017,USD,152.15,150.23,1171.77,13.06
28958,28958,2,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),10.69103,15/12/2017,USD,18.92,202.27,1577.74,17.59
30256,30256,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,29.06226,15/12/2017,USD,196.83,5720.32,44618.53,15.16
30256,30256,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.70793,15/12/2017,USD,159.39,3938.2,30717.94,10.44
30256,30256,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,391.23707,15/12/2017,USD,17.31,6772.31,52824.05,17.95
30256,30256,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.72307,15/12/2017,USD,186.8433,5927.24,46232.5,15.71
30256,30256,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,29.10995,15/12/2017,USD,130.641,3802.95,29663.03,10.08
30256,30256,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),32.38518,15/12/2017,USD,152.15,4927.41,38433.76,13.06
30256,30256,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),350.66328,15/12/2017,USD,18.92,6634.55,51749.48,17.59
30256,30256,1,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,12.35193,15/12/2017,USD,196.83,2431.23,18963.6,15.16
30256,30256,1,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,10.50124,15/12/2017,USD,159.39,1673.79,13055.58,10.44
30256,30256,1,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,166.28205,15/12/2017,USD,17.31,2878.34,22451.07,17.95
30256,30256,1,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,13.48274,15/12/2017,USD,186.8433,2519.16,19649.45,15.71
