PolicyNum,PTVPlanDesc,Status,Commencementdate,IssueDate,BasisType,PlanCurrency,PolicyFee,ApplicationDate,InitialPayDateReg,InitialPayDateSng,CurrentRegularPrem,RegularPremiumFreq,NextRenewalDate,LastPremPaidDate,PolicyTerm,PremiumsPaidTotal,SinglPremiumsTotal,UnsettledPremiums,PremOSTotal,Currentfundholding,CurrentSurrenderval,PremHolOption
8100666,Pacific,In force,42736,18/12/2016,SL,HKD,720,42502,18/12/2016,0,72000,Annual,43466,15/12/2016,55,72000,0,0,0,82334.71,0,N
8103619,Vista,In force,41650,23/10/2014,SL,HKD,720,14/10/2014,23/10/2014,0,2400,Monthly,43102,42897,25,152800,0,2400,0,216271.32,0,N
8103662,Vista,In force,41650,30/10/2014,JLFD,HKD,720,17/10/2014,30/10/2014,0,3000,Monthly,43102,42897,25,246000,0,3000,0,391984.2,0,N
8103662,Vista,In force,41650,30/10/2014,JLFD,HKD,720,17/10/2014,30/10/2014,0,3000,Monthly,43102,42897,25,246000,0,3000,0,391984.2,0,N
8103767,Vista,In force,41650,26/10/2014,JLFD,HKD,720,17/10/2014,26/10/2014,0,6500,Monthly,43102,42897,25,592000,0,6500,0,945595.8,0,N
8103767,Vista,In force,41650,26/10/2014,JLFD,HKD,720,17/10/2014,26/10/2014,0,6500,Monthly,43102,42897,25,592000,0,6500,0,945595.8,0,N
8104675,Vista,Premium ceased,41650,28/10/2014,SL,HKD,720,20/10/2014,28/10/2014,0,2500,Monthly,42747,25/09/2017,25,90000,0,0,0,92711.57,0,N
8105512,Vista,In force,40551,31/08/2011,SL,HKD,720,22/07/2011,30/08/2011,0,2400,Monthly,43102,42897,19,98400,0,2400,0,109090.64,0,N
8106311,Pacific,In force,42381,14/12/2016,SL,USD,90,42533,14/12/2016,0,12000,Annual,43112,13/12/2016,65,12000,0,12000,0,15564.3,0,N
8106328,Pacific,In force,42381,13/12/2016,SL,USD,90,42533,13/12/2016,0,9000,Annual,43112,42716,64,9000,0,9000,0,10285.86,0,N
8107295,Pacific,In force,42374,42587,SL,HKD,720,42494,42587,0,31860,Monthly,43102,42897,64,605340,0,31860,0,953095.2,0,N
8108380,Pacific,In force,42377,42590,SL,HKD,720,42586,42590,0,10000,Monthly,43102,42897,65,160000,0,10000,0,202383.41,0,N
8109050,Pacific,In force,42374,26/04/2016,SL,HKD,720,42708,26/04/2016,0,24000,Monthly,43102,42897,55,456000,0,24000,0,709530.6,0,N
8109581,Pacific,Premium ceased,42374,42587,SL,HKD,720,26/03/2016,42587,0,4000,Monthly,42738,42530,74,20000,0,0,0,19778.31,0,N
8110328,Vista,In force,40184,40335,SL,HKD,720,29/05/2010,40274,0,2400,Monthly,43102,41770,25,287400,0,2400,0,387853.41,0,N
8113758,Pacific,In force,42736,18/12/2016,SL,USD,90,42625,18/12/2016,0,12000,Annual,43466,16/12/2016,57,12000,0,0,0,15907.49,0,N
8115058,Pacific,In force,42374,24/04/2016,SL,HKD,720,16/04/2016,24/04/2016,0,4000,Monthly,43102,42897,72,76000,0,4000,0,78509.72,0,N
8115067,Pacific,In force,42374,30/04/2016,SL,HKD,720,17/04/2016,30/04/2016,0,8000,Monthly,43102,42897,66,152000,0,8000,0,187216.05,0,N
8115659,Vista,In force,41284,41466,JLFD,USD,90,21/09/2013,41375,0,1600,Monthly,43102,42897,25,80000,0,1600,0,108203.2,0,N
8115659,Vista,In force,41284,41466,JLFD,USD,90,21/09/2013,41375,0,1600,Monthly,43102,42897,25,80000,0,1600,0,108203.2,0,N
8116614,Vista,In force,41650,31/10/2014,SL,USD,90,24/10/2014,31/10/2014,0,7650,Monthly,43102,43019,25,283050,0,7650,0,402299.53,0,N
8118219,Pacific,Surrendered,42374,42618,SL,USD,90,23/04/2016,42618,0,0,Single Premium,0,24/06/2016,72,2250,0,0,0,0,0,N
8118227,Pacific,In force,42374,42465,SL,HKD,720,23/04/2016,42465,0,7000,Monthly,43102,42897,65,133000,0,7000,0,151097.38,0,N
8118236,Pacific,In force,42374,30/04/2016,SL,USD,90,23/04/2016,30/04/2016,0,850,Monthly,43102,42897,69,16150,0,850,0,18137.16,0,N
8118254,Pacific,In force,42374,42587,SL,HKD,720,24/04/2016,42587,0,6000,Monthly,43102,42897,68,114000,0,6000,0,132047.76,0,N
8118786,Pacific,In force,42736,27/12/2016,SL,HKD,720,17/12/2016,27/12/2016,0,72000,Annual,43466,23/12/2016,64,72000,0,0,0,82291.53,0,N
8119766,Pacific,In force,42736,29/12/2016,SL,HKD,720,21/12/2016,29/12/2016,0,72000,Annual,43466,29/12/2016,64,72000,0,0,0,82116.62,0,N
8121807,Pacific,In force,42736,42856,SL,USD,90,29/12/2016,42856,0,24000,Annual,43466,42826,64,24000,0,0,0,35464.77,0,N
8124547,Pacific,In force,42736,43009,SL,USD,90,31/12/2016,43009,0,9000,Annual,43466,42979,66,9000,0,0,0,10235.46,0,N
8124565,Pacific,In force,42737,18/01/2017,SL,USD,90,31/12/2016,18/01/2017,0,24000,Annual,43102,17/01/2017,68,24000,0,0,0,35536.94,0,N
8124581,Pacific,In force,42738,28/02/2017,SL,USD,90,30/12/2016,28/02/2017,0,12000,Annual,43103,28/02/2017,67,12000,0,0,0,15299.35,0,N
8124735,Pacific,In force,42736,43070,SL,USD,90,42795,43070,0,12000,Annual,43466,43040,57,12000,0,0,0,15460.91,0,N
8127024,Pacific,In force,42374,42648,SL,HKD,720,26/04/2016,42648,0,8000,Monthly,43102,42897,66,152000,0,8000,0,188177.3,0,N
8128241,Pacific,In force,42374,15/05/2016,SL,HKD,720,42587,15/05/2016,0,6000,Monthly,43102,43019,70,114000,0,6000,0,132133.72,0,N
8129502,Pacific,In force,42737,17/01/2017,SL,USD,90,43009,17/01/2017,0,9000,Annual,43102,16/01/2017,79,9000,0,0,0,10214.53,0,N
8129502,Pacific,In force,42737,17/01/2017,SL,USD,90,43009,17/01/2017,0,9000,Annual,43102,16/01/2017,79,9000,0,0,0,10214.53,0,N
8137151,Pacific,In force,42375,42527,SL,HKD,720,42648,42527,0,4000,Monthly,43102,27/11/2017,71,76000,0,0,0,78198.86,0,N
