Policy Number,Contract No.,Coverage No.,Account Type,Fund Code,Fund Name,Units Held,Price Date,Fund Ccy,Price,Amount in Fund Ccy,Amount in Contract Ccy,Portfolio Weighting
28958,28958,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,29.08496,05/01/2018,USD,201.27,5853.93,45660.65,15.15
28958,28958,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.7272,05/01/2018,USD,166.44,4115.6,32101.64,10.65
28958,28958,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,391.54273,05/01/2018,USD,17.89,7004.7,54636.66,18.12
28958,28958,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.74786,05/01/2018,USD,195.0922,6193.76,48311.33,16.03
28958,28958,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,29.13267,05/01/2018,USD,134.2917,3912.28,30515.75,10.12
28958,28958,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),32.4105,05/01/2018,USD,152.24,4934.17,38486.56,12.77
28958,28958,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),350.93742,05/01/2018,USD,18.9,6632.72,51735.19,17.16
28958,28958,2,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,0.88605,05/01/2018,USD,201.27,178.34,1391.02,15.15
28958,28958,2,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,0.75329,05/01/2018,USD,166.44,125.38,977.95,10.65
28958,28958,2,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,11.92806,05/01/2018,USD,17.89,213.39,1664.47,18.12
28958,28958,2,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,0.96717,05/01/2018,USD,195.0922,188.69,1471.76,16.03
28958,28958,2,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,0.8875,05/01/2018,USD,134.2917,119.18,929.63,10.12
28958,28958,2,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),0.98736,05/01/2018,USD,152.24,150.32,1172.46,12.77
28958,28958,2,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),10.69103,05/01/2018,USD,18.9,202.06,1576.07,17.16
30256,30256,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,28.91695,05/01/2018,USD,201.27,5820.11,45396.89,15.15
30256,30256,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.58439,05/01/2018,USD,166.44,4091.83,31916.24,10.65
30256,30256,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,389.28088,05/01/2018,USD,17.89,6964.23,54321.03,18.12
30256,30256,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.56445,05/01/2018,USD,195.0922,6157.98,48032.23,16.03
30256,30256,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,28.9644,05/01/2018,USD,134.2917,3889.68,30339.49,10.12
30256,30256,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),32.22325,05/01/2018,USD,152.24,4905.67,38264.21,12.77
30256,30256,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),348.90996,05/01/2018,USD,18.9,6594.4,51436.31,17.16
30256,30256,1,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,12.3231,05/01/2018,USD,201.27,2480.27,19346.11,15.15
30256,30256,1,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,10.47673,05/01/2018,USD,166.44,1743.75,13601.23,10.65
30256,30256,1,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,165.89413,05/01/2018,USD,17.89,2967.85,23149.2,18.12
30256,30256,1,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,13.45126,05/01/2018,USD,195.0922,2624.24,20469.04,16.03
30256,30256,1,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,12.34346,05/01/2018,USD,134.2917,1657.62,12929.47,10.12
30256,30256,1,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),13.73229,05/01/2018,USD,152.24,2090.6,16306.71,12.77
30256,30256,1,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),148.68812,05/01/2018,USD,18.9,2810.21,21919.6,17.16
30256,30256,2,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,0.88623,05/01/2018,USD,201.27,178.37,1391.3,15.15
30256,30256,2,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,0.75345,05/01/2018,USD,166.44,125.4,978.15,10.65
30256,30256,2,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,11.93046,05/01/2018,USD,17.89,213.44,1664.8,18.12
30256,30256,2,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,0.96737,05/01/2018,USD,195.0922,188.73,1472.07,16.03
30256,30256,2,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,0.88768,05/01/2018,USD,134.2917,119.21,929.82,10.12
30256,30256,2,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),0.98756,05/01/2018,USD,152.24,150.35,1172.7,12.77
30256,30256,2,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),10.69318,05/01/2018,USD,18.9,202.1,1576.39,17.16
30792,30792,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,6.44448,05/01/2018,USD,201.27,1297.08,1297.08,15.15
30792,30792,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,5.4789,05/01/2018,USD,166.44,911.91,911.91,10.65
30792,30792,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,86.75574,05/01/2018,USD,17.89,1552.06,1552.06,18.12
30792,30792,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,7.03449,05/01/2018,USD,195.0922,1372.37,1372.37,16.03
30792,30792,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,6.45504,05/01/2018,USD,134.2917,866.86,866.86,10.12
30792,30792,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),7.18134,05/01/2018,USD,152.24,1093.29,1093.29,12.77
30792,30792,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),77.75851,05/01/2018,USD,18.9,1469.64,1469.64,17.16
30792,30792,1,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,1.26837,05/01/2018,USD,201.27,255.28,255.28,15.15
30792,30792,1,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,1.07838,05/01/2018,USD,166.44,179.49,179.49,10.65
