Policy Number,Contract No.,Product Name,Is Unit Link,Plan Ccy,Payment Mode,Contract Issue Date,Contract Start Date,Paid-to-Date,Regular Premium,Single Premium,Policy Status,Total Premium Paid
28958,28958,Harvest Supreme Investment Plan,Y,HKD,M,29/11/2010,27/11/2010,27/01/2018,12000,6500,PH,216000
30256,30256,Harvest Supreme Investment Plan,Y,HKD,M,03/01/2011,27/12/2010,27/01/2018,12000,6500,PH,324000
30792,30792,Harvest 101 Investment Plan,Y,USD,M,23/12/2010,20/12/2010,20/01/2018,610,0,PH,13850
31361,31361,Harvest 101 Investment Plan,Y,HKD,M,11/01/2011,05/01/2011,05/01/2018,4800,0,IF,182400
31362,31362,Harvest Supreme Investment Plan,Y,HKD,M,19/01/2011,12/01/2011,12/07/2012,12000,6500,PH,216000
31403,31403,Harvest 101 Investment Plan,Y,HKD,M,06/01/2011,05/01/2011,05/10/2015,1000,0,SU,18000
33435,33435,Harvest 101 Investment Plan,Y,HKD,M,14/03/2011,12/03/2011,12/01/2018,1000,0,PH,37000
33466,33466,Harvest 101 Investment Plan,Y,HKD,SA,04/03/2011,27/02/2011,27/02/2018,6000,0,PH,48000
34370,34370,Harvest 101 Investment Plan,Y,HKD,SA,19/09/2011,12/09/2011,12/03/2018,60000,0,PH,240000
34803,34803,Harvest 101 Investment Plan,Y,USD,Q,21/04/2011,20/04/2011,20/04/2016,0,0,SU,9990
36523,36523,Harvest 101 Investment Plan,Y,HKD,M,14/06/2011,12/06/2011,12/01/2018,4800,0,PH,96000
38849,38849,Harvest 101 Investment Plan,Y,HKD,M,15/08/2011,12/08/2011,12/01/2018,800,0,IF,61600
38933,38933,Harvest 101 Investment Plan,Y,HKD,M,19/08/2011,12/08/2011,12/01/2018,4800,0,PH,244800
38995,38995,Harvest 101 Investment Plan,Y,HKD,M,06/09/2011,05/09/2011,05/01/2018,7520,0,IF,479360
39184,39184,Harvest 101 Investment Plan,Y,HKD,M,29/08/2011,27/08/2011,27/01/2018,1200,0,IF,236400
39424,39424,Harvest 101 Investment Plan,Y,HKD,M,22/09/2011,20/09/2011,20/01/2018,2000,0,IF,152000
39429,39429,Harvest 101 Investment Plan,Y,HKD,M,06/09/2011,05/09/2011,05/01/2018,2000,0,PH,110000
39602,39602,Harvest 101 Investment Plan,Y,HKD,M,07/09/2011,05/09/2011,05/12/2011,9600,0,SU,28800
39603,39603,Harvest 101 Investment Plan,Y,HKD,M,23/09/2011,20/09/2011,20/01/2018,2000,0,IF,152000
39642,39642,Harvest 101 Investment Plan,Y,HKD,M,04/10/2011,27/09/2011,27/01/2018,720,0,PH,30240
39879,39879,Harvest 101 Investment Plan,Y,HKD,M,23/09/2011,20/09/2011,20/01/2018,1200,0,IF,91200
39969,39969,Harvest 101 Investment Plan,Y,HKD,M,22/09/2011,20/09/2011,20/01/2018,1500,0,PH,73500
39970,39970,Harvest 101 Investment Plan,Y,HKD,M,23/09/2011,20/09/2011,20/01/2018,1500,0,PH,95520
39976,39976,Harvest 101 Investment Plan,Y,HKD,M,22/09/2011,20/09/2011,20/01/2018,800,0,PH,36800
40228,40228,Harvest 101 Investment Plan,Y,HKD,M,12/10/2011,12/10/2011,12/01/2018,1200,0,PH,31200
41063,41063,Harvest 101 Investment Plan,Y,HKD,M,26/10/2011,20/10/2011,20/01/2018,4500,0,PH,177000
41655,41655,Harvest 101 Investment Plan,Y,HKD,M,18/11/2011,12/11/2011,12/12/2017,1000,0,IF,73000
41933,41933,Harvest 101 Investment Plan,Y,HKD,M,29/11/2011,27/11/2011,27/01/2018,1000,0,IF,136000
42039,42039,Wealth Amplifier Investment Plan,Y,HKD,-,16/01/2012,16/01/2012,16/01/2077,0,80000,IF,80000
42046,42046,Harvest 101 Investment Plan,Y,HKD,M,30/11/2011,27/11/2011,27/01/2018,1300,0,IF,96200
42047,42047,Harvest 101 Investment Plan,Y,HKD,M,05/12/2011,05/12/2011,05/01/2018,5000,0,PH,389200
42114,42114,Harvest 101 Investment Plan,Y,HKD,M,08/12/2011,05/12/2011,05/01/2018,4800,0,PH,220800
42224,42224,Harvest 101 Investment Plan,Y,HKD,M,16/12/2011,12/12/2011,12/01/2018,720,0,IF,293280
42279,42279,Harvest 101 Investment Plan,Y,HKD,M,07/12/2011,05/12/2011,05/01/2018,5000,0,IF,480000
42322,42322,Harvest 101 Investment Plan,Y,HKD,M,08/12/2011,05/12/2011,05/01/2018,3700,0,IF,270100
43072,43072,Harvest 101 Investment Plan,Y,HKD,M,29/12/2011,27/12/2011,27/01/2018,2000,0,IF,146000
43451,43451,Harvest 101 Investment Plan,Y,HKD,M,20/01/2012,20/01/2012,20/04/2016,720,0,SU,444560
44109,44109,Harvest 101 Investment Plan,Y,HKD,M,19/01/2012,12/01/2012,12/03/2016,720,0,SU,36000
44110,44110,Harvest 101 Investment Plan,Y,HKD,A,09/01/2012,05/01/2012,05/01/2016,24000,0,SU,48000
44111,44111,Harvest 101 Investment Plan,Y,HKD,M,17/01/2012,12/01/2012,12/12/2017,1000,0,IF,260200
44113,44113,Harvest 101 Investment Plan,Y,HKD,SA,09/01/2012,05/01/2012,05/01/2013,28800,0,SU,57600
44323,44323,Harvest 101 Investment Plan,Y,HKD,M,20/01/2012,20/01/2012,20/01/2018,4800,0,PH,120000
44536,44536,Harvest 101 Investment Plan,Y,HKD,M,20/03/2012,20/03/2012,20/01/2018,1500,0,PH,153000
