 Policy Number,PolicyNum,PTVPlanDesc,Status,Commencementdate,IssueDate,BasisType,PlanCurrency,PolicyFee,ApplicationDate,InitialPayDateReg,InitialPayDateSng,CurrentRegularPrem,RegularPremiumFreq,NextRenewalDate,LastPremPaidDate,PolicyTerm,PremiumsPaidTotal,SinglPremiumsTotal,UnsettledPremiums,PremOSTotal,Currentfundholding,CurrentSurrenderval,PremHolOption
8100666,8100666,Pacific,In force,42736,18/12/2016,SL,HKD,720,42502,18/12/2016,0,72000,Annual,43466,15/12/2016,55,72000,0,72000,0,83113.14,0,N
8103619,8103619,Vista,In force,41650,23/10/2014,SL,HKD,720,14/10/2014,23/10/2014,0,2400,Monthly,43103,42898,25,155200,0,2400,0,220064.95,0,N
8103662,8103662,Vista,In force,41650,30/10/2014,JLFD,HKD,720,17/10/2014,30/10/2014,0,3000,Monthly,43103,42898,25,249000,0,3000,0,398169.86,0,N
8103662,8103662,Vista,In force,41650,30/10/2014,JLFD,HKD,720,17/10/2014,30/10/2014,0,3000,Monthly,43103,42898,25,249000,0,3000,0,398169.86,0,N
8103767,8103767,Vista,In force,41650,26/10/2014,JLFD,HKD,720,17/10/2014,26/10/2014,0,6500,Monthly,43103,42898,25,598500,0,6500,0,959807.68,0,N
8103767,8103767,Vista,In force,41650,26/10/2014,JLFD,HKD,720,17/10/2014,26/10/2014,0,6500,Monthly,43103,42898,25,598500,0,6500,0,959807.68,0,N
8104675,8104675,Vista,Premium ceased,41650,28/10/2014,SL,HKD,720,20/10/2014,28/10/2014,0,2500,Monthly,42747,25/09/2017,25,90000,0,0,0,93336.66,0,N
8105512,8105512,Vista,In force,40551,31/08/2011,SL,HKD,720,22/07/2011,30/08/2011,0,2400,Monthly,43103,43081,19,100800,0,2400,0,112457.12,0,N
8106311,8106311,Pacific,In force,42381,14/12/2016,SL,USD,90,42533,14/12/2016,0,12000,Annual,43112,18/12/2017,65,24000,0,0,0,27672.09,0,N
8106328,8106328,Pacific,In force,42381,13/12/2016,SL,USD,90,42533,13/12/2016,0,750,Monthly,43103,22/12/2017,64,9750,0,0,0,11133.24,0,N
8107295,8107295,Pacific,In force,42374,42587,SL,HKD,720,42494,42587,0,31860,Monthly,43103,42898,64,637200,0,31860,0,994006.95,0,N
8108380,8108380,Pacific,In force,42377,42590,SL,HKD,720,42586,42590,0,10000,Monthly,43103,42898,65,170000,0,10000,0,214598.77,0,N
8109050,8109050,Pacific,In force,42374,26/04/2016,SL,HKD,720,42708,26/04/2016,0,24000,Monthly,43103,22/12/2017,55,480000,0,24000,0,739864.66,0,N
8109581,8109581,Pacific,Premium ceased,42374,42587,SL,HKD,720,26/03/2016,42587,0,4000,Monthly,42738,42530,74,20000,0,0,0,19916.28,0,N
